year,n_train,n_reextract,abstract_multiset_equal,key_multiset_equal,n_unmatched,n_ambiguous,n_distinct_abstracts_train,exact_coverage,title_coverage,agree,disagree,gain_exact_only,title_only,disagree_share_of_title_ids,sec
1970,258018,258018,True,True,0,877,246501,1.0,0.897585,231593,0,26425,0,0.0,15.5
1971,244676,244676,True,True,0,506,233685,1.0,0.896165,219270,0,25406,0,0.0,11.3
1972,265549,265549,True,True,0,589,253788,1.0,0.893839,237358,0,28191,0,0.0,12.2
1973,283288,283288,True,True,0,638,271185,1.0,0.899897,254930,0,28358,0,0.0,12.6
1974,292302,292302,True,True,0,563,280006,1.0,0.898533,262643,0,29659,0,0.0,13.2
1975,340888,340888,True,True,0,1163,328270,1.0,0.903693,308058,0,32830,0,0.0,15.1
1976,365036,365036,True,True,0,1243,351752,1.0,0.905201,330431,0,34605,0,0.0,15.9
1977,382630,382630,True,True,0,1080,368387,1.0,0.90518,346349,0,36281,0,0.0,17.2
1978,398564,398564,True,True,0,1073,384334,1.0,0.905217,360787,0,37777,0,0.0,17.6
1979,425081,425081,True,True,0,1296,409980,1.0,0.903842,384206,0,40875,0,0.0,18.3
1980,452068,452068,True,True,0,1066,436803,1.0,0.902464,407975,0,44093,0,0.0,19.8
1981,470310,470310,True,True,0,891,454893,1.0,0.90427,425287,0,45023,0,0.0,20.8
1982,482347,482347,True,True,0,1117,465616,1.0,0.897984,433140,0,49207,0,0.0,21.6
1983,514996,514996,True,True,0,1196,497114,1.0,0.89776,462343,0,52653,0,0.0,22.7
1984,541647,541647,True,True,0,1017,523191,1.0,0.897915,486353,0,55294,0,0.0,24.2
1985,570461,570461,True,True,0,1274,550910,1.0,0.902908,515074,0,55387,0,0.0,25.6
1986,600024,600024,True,True,0,1675,580007,1.0,0.902899,541761,0,58263,0,0.0,27.3
1987,644103,644103,True,True,0,2067,622150,1.0,0.901415,580604,0,63499,0,0.0,30.0
1988,676212,676212,True,True,0,2046,653741,1.0,0.901495,609602,0,66610,0,0.0,31.3
1989,753385,753385,True,True,0,2605,728907,1.0,0.900784,678637,0,74748,0,0.0,36.2
1990,796605,796605,True,True,0,2548,771096,1.0,0.902191,718690,0,77915,0,0.0,36.6
1991,812548,812548,True,True,0,3076,785245,1.0,0.897151,728978,0,83570,0,0.0,37.9
1992,849903,849903,True,True,0,2452,823346,1.0,0.899471,764463,0,85440,0,0.0,40.1
1993,889149,889149,True,True,0,1677,863827,1.0,0.905064,804737,0,84412,0,0.0,42.1
1994,926091,926091,True,True,0,1764,899985,1.0,0.906268,839287,0,86804,0,0.0,45.0
1995,974466,974466,True,True,0,2381,945692,1.0,0.901996,878964,0,95502,0,0.0,51.8
1996,1027255,1027255,True,True,0,3608,990876,1.0,0.881665,905695,0,121560,0,0.0,52.8
1997,1050731,1050731,True,True,0,3599,1016753,1.0,0.883647,928475,0,122256,0,0.0,56.3
1998,1119490,1119490,True,True,0,4821,1074196,1.0,0.877082,981884,0,137606,0,0.0,60.9
1999,1195463,1195463,True,True,0,3862,1155016,1.0,0.8762,1047465,0,147998,0,0.0,69.5
2000,1370770,1370770,True,True,0,3756,1324243,1.0,0.87255,1196065,0,174705,0,0.0,76.4
2001,1485145,1485145,True,True,0,3729,1440970,1.0,0.879767,1306581,0,178564,0,0.0,83.1
2002,1919128,1919128,True,True,0,3641,1877868,1.0,0.902778,1732547,0,186581,0,0.0,109.6
2003,1949614,1949614,True,True,0,3772,1893914,1.0,0.888669,1732561,0,217053,0,0.0,116.1
2004,2121806,2121806,True,True,0,6714,2047817,1.0,0.879974,1867135,0,254671,0,0.0,127.6
2005,2322946,2322946,True,True,0,4701,2263903,1.0,0.898364,2086852,0,236094,0,0.0,134.1
2006,2566281,2566281,True,True,0,3957,2503821,1.0,0.903227,2317935,0,248346,0,0.0,147.4
2007,2774343,2774343,True,True,0,5483,2700118,1.0,0.899913,2496666,0,277677,0,0.0,158.2
2008,2997324,2997324,True,True,0,4869,2911686,1.0,0.910871,2730175,0,267149,0,0.0,169.7
2009,3296224,3296224,True,True,0,7310,3200262,1.0,0.903069,2976717,0,319507,0,0.0,190.7
2010,3660085,3660085,True,True,0,6696,3452280,1.0,0.901982,3301330,0,358755,0,0.0,236.9
2011,3751565,3751565,True,True,0,8979,3637643,1.0,0.894065,3354144,0,397421,0,0.0,247.0
2012,3898154,3898154,True,True,0,8381,3778555,1.0,0.894898,3488451,0,409703,0,0.0,256.8
2013,4079081,4079081,True,True,0,9218,3955324,1.0,0.894596,3649128,0,429953,0,0.0,398.0
2014,4046822,4046822,True,True,0,9406,3925229,1.0,0.892123,3610263,0,436559,0,0.0,371.5
2015,3978924,3978924,True,True,0,10111,3853920,1.0,0.89456,3559385,0,419539,0,0.0,366.2
2016,3842611,3842611,True,True,0,14273,3700817,1.0,0.901044,3462361,0,380250,0,0.0,361.3
2017,3813664,3813664,True,True,0,14758,3686556,1.0,0.910499,3472338,0,341326,0,0.0,360.7
2018,4062508,4062508,True,True,0,16190,3903420,1.0,0.909644,3695434,0,367074,0,0.0,373.9
2019,4364647,4364647,True,True,0,17849,4207931,1.0,0.907266,3959894,0,404753,0,0.0,406.2
2020,4909805,4909805,True,True,0,20520,4729479,1.0,0.902209,4429668,0,480137,0,0.0,465.4
2021,5226616,5226616,True,True,0,39224,5024220,1.0,0.894845,4677010,0,549606,0,0.0,501.9
2022,4921104,4921104,True,True,0,17144,4801568,1.0,0.925534,4554647,0,366457,0,0.0,463.3
2023,3680924,3680924,True,True,0,107804,3463155,1.0,0.86916,3199311,0,481613,0,0.0,362.5
2024,7942,7942,True,True,0,6,7740,1.0,0.991438,7874,0,68,0,0.0,30.7
2025,31,31,True,True,0,0,28,1.0,1.0,31,0,0,0,0.0,2.3
