table,size,n_cols,columns
authors,5.7 GB,12,"id, orcid, display_name, display_name_alternatives, works_count, cited_by_count, summary_stats, last_known_institution, last_known_institutions, works_api_url, updated_date, created_date"
authors_affiliations,2.6 GB,5,"author_id, institution_id, years_json, institution_lineage_json, institution_ror"
authors_counts_by_year,1.5 GB,5,"author_id, year, works_count, cited_by_count, oa_works_count"
authors_ids,793.3 MB,7,"author_id, openalex, orcid, scopus, twitter, wikipedia, mag"
authors_topic_share,3.0 GB,6,"author_id, topic_id, value, subfield_id, field_id, domain_id"
authors_topics,3.2 GB,7,"author_id, topic_id, score, count, subfield_id, field_id, domain_id"
authors_x_concepts,5.1 GB,6,"author_id, concept_id, score, count, level, wikidata"
concepts,4.6 MB,11,"id, wikidata, display_name, level, description, works_count, cited_by_count, image_url, image_thumbnail_url, works_api_url, updated_date"
concepts_ancestors,71.0 B,2,"concept_id, ancestor_id"
concepts_counts_by_year,99.0 B,5,"concept_id, year, works_count, cited_by_count, oa_works_count"
concepts_ids,1.6 MB,7,"concept_id, openalex, wikidata, wikipedia, umls_aui, umls_cui, mag"
concepts_related_concepts,85.0 B,3,"concept_id, related_concept_id, score"
domains,1.2 KB,13,"original_id, id, ids, display_name, display_name_alternatives, description, fields, siblings, works_count, cited_by_count, works_api_url, created_date, updated_date"
funders,7.6 MB,17,"id, display_name, alternate_titles, country_code, description, homepage_url, image_url, image_thumbnail_url, ids, works_count, cited_by_count, awards_count, roles, counts_by_year, summary_stats, created_date, updated_date"
institutions,6.9 MB,14,"id, ror, display_name, country_code, type, homepage_url, image_url, image_thumbnail_url, display_name_acronyms, display_name_alternatives, works_count, cited_by_count, works_api_url, updated_date"
institutions_associated_institutions,418.7 KB,3,"institution_id, associated_institution_id, relationship"
institutions_counts_by_year,8.1 MB,5,"institution_id, year, works_count, cited_by_count, oa_works_count"
institutions_geo,3.2 MB,8,"institution_id, city, geonames_city_id, region, country_code, country, latitude, longitude"
institutions_ids,2.2 MB,7,"institution_id, openalex, ror, grid, wikipedia, wikidata, mag"
publishers,973.0 B,10,"id, display_name, alternate_titles, country_codes, hierarchy_level, parent_publisher, works_count, cited_by_count, sources_api_url, updated_date"
publishers_counts_by_year,103.0 B,5,"publisher_id, year, works_count, cited_by_count, oa_works_count"
publishers_ids,362.0 B,4,"publisher_id, openalex, ror, wikidata"
sources,93.9 MB,34,"id, issn_l, issn, display_name, host_organization, host_organization_name, host_organization_lineage, works_count, oa_works_count, cited_by_count, summary_stats, is_oa, is_in_doaj, is_in_doaj_since_year, is_high_oa_rate, is_high_oa_rate_since_year, oa_flip_year, is_in_scielo, is_ojs, is_core, first_publication_year, last_publication_year, country_code, type, apc_prices, apc_usd, topics, topic_share, alternate_titles, societies, homepage_url, works_api_url, created_date, updated_date"
sources_counts_by_year,19.3 MB,5,"source_id, year, works_count, cited_by_count, oa_works_count"
sources_ids,4.7 MB,6,"source_id, openalex, issn_l, issn, mag, wikidata"
subfields,398.5 KB,19,"original_id, id, ids, display_name, display_name_alternatives, description, domain, domain_id, domain_display_name, field, field_id, field_display_name, topics, siblings, works_count, cited_by_count, works_api_url, created_date, updated_date"
topics,4.6 MB,17,"original_id, id, display_name, subfield_id, subfield_display_name, field_id, field_display_name, domain_id, domain_display_name, description, keywords, works_api_url, wikipedia_id, works_count, cited_by_count, updated_date, siblings"
works_au_affs_fixed,38.0 GB,15,"work_id, author_position, author_position_raw, author_position_int, author_id, author_display_name, raw_author_name, is_corresponding, affiliation_id, raw_affiliation_string, institution_ids, countries, type, orcid, affiliation_json"
works_authorships,47.8 MB,5,"work_id, author_position, author_id, institution_id, raw_affiliation_string"
