dataset,column,dtype
best_oa_locations,work_id,string
best_oa_locations,source_id,string
best_oa_locations,landing_page_url,string
best_oa_locations,pdf_url,string
best_oa_locations,is_oa,bool
best_oa_locations,version,string
best_oa_locations,license,string
biblio,work_id,string
biblio,volume,string
biblio,issue,string
biblio,first_page,string
biblio,last_page,string
concepts,work_id,string
concepts,concept_id,string
concepts,score,double
ids,work_id,string
ids,openalex,string
ids,doi,string
ids,mag,string
ids,pmid,string
ids,pmcid,null
locations,work_id,string
locations,source_id,string
locations,landing_page_url,string
locations,pdf_url,string
locations,is_oa,bool
locations,version,string
locations,license,string
mesh,work_id,string
mesh,descriptor_ui,string
mesh,descriptor_name,string
mesh,qualifier_ui,string
mesh,qualifier_name,string
mesh,is_major_topic,bool
open_access,work_id,string
open_access,is_oa,bool
open_access,oa_status,string
open_access,oa_url,string
open_access,any_repository_has_fulltext,bool
primary_locations,work_id,string
primary_locations,source_id,string
primary_locations,landing_page_url,string
primary_locations,pdf_url,string
primary_locations,is_oa,bool
primary_locations,version,string
primary_locations,license,string
referenced_works,work_id,string
referenced_works,referenced_work_id,string
related_works,work_id,string
related_works,related_work_id,string
topics,work_id,string
topics,topic_id,string
topics,score,double
work_add_infor,work_id,string
work_add_infor,corresponding_author_ids_json,string
work_add_infor,corresponding_institution_ids_json,string
work_add_infor,awards_json,string
work_add_infor,funders_json,string
work_add_infor,counts_by_year_json,string
work_add_infor,citation_normalized_percentile_json,string
work_add_infor,fwci,double
work_add_infor,sustainable_development_goals_json,string
work_add_infor,apc_list_json,string
work_add_infor,countries_distinct_count,int64
work_add_infor,institutions_distinct_count,int64
works,id,string
works,doi,string
works,title,string
works,display_name,string
works,publication_year,int64
works,publication_date,string
works,type,string
works,cited_by_count,int64
works,is_retracted,bool
works,is_paratext,bool
works,cited_by_api_url,null
works,abstract_inverted_index,string
works,language,string
works_semantic,work_id,string
works_semantic,primary_topic_json,string
works_semantic,keywords_json,string
works_semantic,has_abstract,bool
works_semantic,abstract,string
