name,kind,files,bytes,size
works,dir,18676,608079989721,566.3 GB
works_au_affs_fixed.csv.gz,file,1,40812036399,38.0 GB
authors.csv.gz,file,1,6069475028,5.7 GB
authors_x_concepts.csv.gz,file,1,5498806663,5.1 GB
authors_topics.csv.gz,file,1,3387521251,3.2 GB
authors_topic_share.csv.gz,file,1,3186333095,3.0 GB
authors_affiliations.csv.gz,file,1,2818498205,2.6 GB
authors_counts_by_year.csv.gz,file,1,1613020457,1.5 GB
authors_ids.csv.gz,file,1,831870486,793.3 MB
sources.csv.gz,file,1,98419575,93.9 MB
works_authorships.csv.gz,file,1,50151338,47.8 MB
sources_counts_by_year.csv.gz,file,1,20208459,19.3 MB
institutions_counts_by_year.csv.gz,file,1,8464915,8.1 MB
funders.csv.gz,file,1,7935060,7.6 MB
institutions.csv.gz,file,1,7224791,6.9 MB
sources_ids.csv.gz,file,1,4877693,4.7 MB
topics.csv.gz,file,1,4865067,4.6 MB
concepts.csv.gz,file,1,4831398,4.6 MB
OpenAlex_2026_Jan_16_Renly_only_works,dir,332,3342193,3.2 MB
institutions_geo.csv.gz,file,1,3332622,3.2 MB
institutions_ids.csv.gz,file,1,2316839,2.2 MB
concepts_ids.csv.gz,file,1,1687839,1.6 MB
institutions_associated_institutions.csv.gz,file,1,428713,418.7 KB
subfields.csv.gz,file,1,408019,398.5 KB
OpenAlex_2026_Jan_16_Renly_only_works_abstract,dir,39,244757,239.0 KB
domains.csv.gz,file,1,1261,1.2 KB
publishers.csv.gz,file,1,973,973.0 B
publishers_ids.csv.gz,file,1,362,362.0 B
publishers_counts_by_year.csv.gz,file,1,103,103.0 B
concepts_counts_by_year.csv.gz,file,1,99,99.0 B
concepts_related_concepts.csv.gz,file,1,85,85.0 B
concepts_ancestors.csv.gz,file,1,71,71.0 B
